id,bg_name,year,popularity,best_for,weigth
1,Gloomhaven,2017,49841,3.0,3.87
2,Pandemic Legacy: Season 1,2015,46275,4.0,2.83
3,Brass: Birmingham,2018,27744,4.0,3.9
4,Terraforming Mars,2016,77724,3.0,3.25
5,Gloomhaven: Jaws of the Lion,2020,18970,2.0,3.59
6,Twilight Imperium: Fourth Edition,2017,16967,6.0,4.26
7,Gaia Project,2017,20445,4.0,4.37
8,Star Wars: Rebellion,2016,26489,2.0,3.73
9,Spirit Island,2017,34729,2.0,4.04
10,War of the Ring: Second Edition,2011,16188,2.0,4.18
11,Through the Ages: A New Story of Civilization,2015,26483,3.0,4.42
12,Great Western Trail,2016,34202,3.0,3.71
13,Twilight Struggle,2005,43825,2.0,3.6
14,Scythe,2016,67404,4.0,3.43
15,Dune: Imperium,2020,19282,4.0,2.99
16,The Castles of Burgundy,2011,52186,2.0,3.0
17,Nemesis,2018,19523,5.0,3.39
18,7 Wonders Duel,2015,73122,2.0,2.22
19,Concordia,2013,32797,4.0,3.01
20,Brass: Lancashire,2007,21408,4.0,3.86
21,Terra Mystica,2012,42721,4.0,3.97
22,A Feast for Odin,2016,21609,3.0,3.85
23,Wingspan,2019,61119,3.0,2.44
24,Arkham Horror: The Card Game,2016,34780,2.0,3.49
25,Root,2018,34170,4.0,3.73
26,Viticulture Essential Edition,2015,36915,4.0,2.89
27,Everdell,2018,32618,3.0,2.81
28,Clank!: Legacy – Acquisitions Incorporated,2019,5678,4.0,2.7
29,Orléans,2014,25556,4.0,3.04
30,Mage Knight Board Game,2011,29956,2.0,4.33
31,Eclipse: Second Dawn for the Galaxy,2020,6547,4.0,3.59
32,Lost Ruins of Arnak,2020,21695,3.0,2.87
33,Ark Nova,2021,5456,2.0,3.74
34,Food Chain Magnate,2015,16113,4.0,4.21
35,Puerto Rico,2002,66278,4.0,3.28
36,Caverna: The Cave Farmers,2013,30424,4.0,3.79
37,Marvel Champions: The Card Game,2019,15636,2.0,2.87
38,Blood Rage,2015,39032,4.0,2.88
39,Too Many Bones,2017,8399,3.0,3.85
40,Barrage,2019,10457,4.0,4.07
41,Agricola,2007,67126,4.0,3.64
42,Maracaibo,2019,11616,3.0,3.89
43,Underwater Cities,2018,13720,2.0,3.6
44,Pax Pamir: Second Edition,2019,7830,4.0,3.81
45,Pandemic Legacy: Season 2,2017,14193,4.0,3.24
46,Mansions of Madness: Second Edition,2016,29731,4.0,2.67
47,The Crew: The Quest for Planet Nine,2019,27955,4.0,1.98
48,Anachrony,2017,13941,3.0,4.01
49,Tzolk'in: The Mayan Calendar,2012,34137,4.0,3.67
50,Power Grid,2004,59585,5.0,3.26
51,Clans of Caledonia,2017,17356,4.0,3.46
